KAZA TURU,KAZA TARIHI,AY,MEVSİM,KAZA SAAT,ILCE,MAHALLE,YOL,OLU SAYISI,YARALI SAYISI,TASIT SAYISI,SURUCU KUSURU,OLUS NEDENI,KAPLAMA CINSI,SERIT SAYISI,AYDINLATMA,YASAL HIZ LIMITI,ARAC CINSI,ARAC MODELI,SURUCU CINSIYET,SURUCU EGITIM DURUMU,EHLIYET YILI
Yaralamali,6/14/2014,6,yaz,15,KOCASINAN,SANAYI,KOCASINAN BULV.,,1,1,57/1-a,Yandan carpma,Asfalt,3,Yok,70,Otomobil,2005,erkek,2 YIL SURELI YUKSEK,16
Yaralamali,6/14/2014,6,yaz,19,MELIKGAZI,HURRIYET,NANELI SK.,,1,1,52/1-a,Yayaya carpma,Asfalt,2,Var,50,Otomobil,1992,erkek,LISE VE DENGI OKUL,16
Yaralamali,6/15/2014,6,yaz,3,KOCASINAN,YAKUT,KADIR HAS CD.,,3,2,47/1-c,Yandan carpma,Asfalt,2,Var,50,Otomobil,1997,erkek,LISE VE DENGI OKUL,6
Yaralamali,6/15/2014,6,yaz,7,MELIKGAZI,ESENTEPE,AHMET GAZI AYHAN BULV.,,1,1,47/1-b,Yandan carpma,Asfalt,3,Var,50,Otomobil,1982,erkek,ILKOKUL,9
Yaralamali,6/15/2014,6,yaz,16,MELIKGAZI,ERENKOY,,,2,2,47/1-c,Yandan carpma,Asfalt,2,Var,50,Otomobil,1996,erkek,ILKOGRETIM,4
Yaralamali,6/15/2014,6,yaz,10,MELIKGAZI,HURRIYET,SHT. MIRALAY NAZIM BEY BULV.,,1,2,52/1-b,Yoldan cikma,Asfalt,2,Var,50,Kamyonet,2005,erkek,ILKOKUL,24
Yaralamali,6/15/2014,6,yaz,23,MELIKGAZI,SELCUKLU,AVLU SK.,,1,1,52/1-a,Yandan carpma,Asfalt,2,Yok,50,Otomobil,1997,erkek,ILKOGRETIM,1
Yaralamali,6/15/2014,6,yaz,22,KOCASINAN,UGUREVLER,KOCASINAN BULV.,,1,2,56/1-c,Arkadan carpma,Asfalt,3,Var,70,Otomobil,1992,erkek,ILKOGRETIM,29
Yaralamali,6/15/2014,6,yaz,18,MELIKGAZI,OSMAN KAVUNCU,GIRNE SEHITLERI CD.,,1,1,56/1-c,Arkadan carpma,Asfalt,2,Var,50,Otomobil,1992,erkek,LISE VE DENGI OKUL,2
Yaralamali,6/15/2014,6,yaz,12,KOCASINAN,YESIL,ERKILET BULV.,,1,2,53/1-b,Yandan carpma,Asfalt,3,Yok,50,Otomobil,1992,erkek,ORTAOKUL,5
Yaralamali,6/16/2014,6,yaz,2,MELIKGAZI,ALTINOLUK,SEHER BULV.,,1,1,52/1-b,"Devrilme,savrulma,takla",Asfalt,2,Var,60,Otomobil,2004,erkek,LISE VE DENGI OKUL,0
